"Time","u101","u201","u301","u501","u601","u110","u210","u310","u510","u610","u710","u111","u211","u311","u511","u611","u711","u112","u212","u312","u512","u612","u712","u213","u313","u713","u714","u102","u302","u502","u602","u702","u103","u203","u303","u503","u603","u703","u104","u204","u304","u504","u604","u704","u105","u205","u305","u505","u605","u705","u106","u206","u306","u506","u606","u706","u107","u207","u307","u507","u607","u707","u108","u208","u308","u508","u608","u708","u109","u209","u309","u509","u609","u709"
2024-08-04 18:59:24,-88.9642 µA,-89.0134 µA,-88.9923 µA,-89.1958 µA,-88.9830 µA,-89.2447 µA,-88.9380 µA,-88.9018 µA,-89.1265 µA,-89.1058 µA,-88.9584 µA,-88.7527 µA,-88.9704 µA,-86.4325 µA,-89.1052 µA,-86.3694 µA,-89.0248 µA,-89.2568 µA,-89.0289 µA,-88.8439 µA,-89.0125 µA,-88.5040 µA,-89.0092 µA,-88.9498 µA,-105.9697 µA,-106.1961 µA,-88.9213 µA,-89.0815 µA,-85.2984 µA,-89.1275 µA,-88.7683 µA,-88.8817 µA,-89.1606 µA,-88.9842 µA,-88.7980 µA,-89.0939 µA,-88.8892 µA,-88.5802 µA,-89.0016 µA,-89.0464 µA,-88.9619 µA,-89.1105 µA,-89.0615 µA,-88.5432 µA,-89.0410 µA,-89.1260 µA,-88.8341 µA,-88.7603 µA,-88.9514 µA,-89.2147 µA,-89.3316 µA,-88.4592 µA,-88.9935 µA,-89.0573 µA,-88.9839 µA,-89.0847 µA,-89.0750 µA,-88.9579 µA,-85.7833 µA,-88.9955 µA,-88.9493 µA,-89.0367 µA,-89.2853 µA,-87.1993 µA,-89.0455 µA,-89.2346 µA,-88.4566 µA,-88.5847 µA,-89.2512 µA,-88.9781 µA,-88.9844 µA,-78.9783 µA,-88.9198 µA,-89.0023 µA
2024-08-04 18:59:28,-88.9637 µA,-89.0125 µA,-88.9930 µA,-89.1957 µA,-88.9831 µA,-89.2442 µA,-88.9378 µA,-88.9016 µA,-89.1167 µA,-89.1058 µA,-88.9584 µA,-88.7536 µA,-88.9791 µA,-86.4327 µA,-89.1053 µA,-86.3693 µA,-89.0246 µA,-89.2573 µA,-89.0312 µA,-88.8442 µA,-89.0124 µA,-88.5045 µA,-88.9989 µA,-88.9497 µA,-105.9697 µA,-106.1961 µA,-88.9213 µA,-89.0808 µA,-85.2957 µA,-89.1279 µA,-88.7683 µA,-88.8819 µA,-89.1605 µA,-88.9843 µA,-88.7981 µA,-89.0935 µA,-88.8892 µA,-88.5804 µA,-89.0011 µA,-89.0465 µA,-88.9619 µA,-89.1099 µA,-89.0608 µA,-88.4561 µA,-89.0410 µA,-89.1224 µA,-88.8306 µA,-88.7599 µA,-88.9511 µA,-89.2148 µA,-89.3317 µA,-88.4788 µA,-88.9935 µA,-89.0573 µA,-88.9838 µA,-89.0843 µA,-89.0748 µA,-88.9570 µA,-85.7824 µA,-88.9955 µA,-88.9480 µA,-89.0362 µA,-89.2843 µA,-87.1982 µA,-89.0457 µA,-89.2347 µA,-88.5458 µA,-88.3739 µA,-89.2505 µA,-88.9782 µA,-88.9848 µA,-79.2048 µA,-88.9199 µA,-89.0020 µA
2024-08-04 18:59:32,-88.9639 µA,-89.0125 µA,-89.0024 µA,-89.1957 µA,-88.9797 µA,-89.2439 µA,-88.9379 µA,-88.9015 µA,-89.1297 µA,-89.1053 µA,-88.9581 µA,-88.7547 µA,-88.9776 µA,-86.4322 µA,-89.1055 µA,-86.3689 µA,-89.0247 µA,-89.2580 µA,-89.0282 µA,-88.8441 µA,-89.0126 µA,-88.5041 µA,-88.9998 µA,-88.9494 µA,-105.9697 µA,-106.1961 µA,-88.9214 µA,-89.0809 µA,-85.2959 µA,-89.1276 µA,-88.7681 µA,-88.8817 µA,-89.1606 µA,-88.9831 µA,-88.7983 µA,-89.0936 µA,-88.8888 µA,-88.5803 µA,-89.0012 µA,-89.0458 µA,-88.9618 µA,-89.1099 µA,-89.0606 µA,-88.4547 µA,-89.0401 µA,-89.1228 µA,-88.8092 µA,-88.7593 µA,-88.9510 µA,-89.2148 µA,-89.3317 µA,-88.4497 µA,-88.9936 µA,-89.0570 µA,-88.9840 µA,-89.0844 µA,-89.0742 µA,-88.9564 µA,-85.7819 µA,-88.9947 µA,-88.8846 µA,-89.0360 µA,-89.2833 µA,-87.1972 µA,-89.0458 µA,-89.2347 µA,-88.4211 µA,-88.6436 µA,-89.2500 µA,-88.9783 µA,-88.9848 µA,-78.9606 µA,-88.9198 µA,-89.0023 µA
2024-08-04 18:59:36,-88.9635 µA,-89.0128 µA,-89.0021 µA,-89.1957 µA,-88.9831 µA,-89.2433 µA,-88.9380 µA,-88.9016 µA,-89.1427 µA,-89.1052 µA,-88.9576 µA,-88.7539 µA,-89.1032 µA,-86.4317 µA,-89.1051 µA,-86.3687 µA,-89.0244 µA,-89.2570 µA,-89.0279 µA,-88.8442 µA,-89.0121 µA,-88.5044 µA,-89.0299 µA,-88.9497 µA,-105.9697 µA,-106.1961 µA,-88.9212 µA,-89.0814 µA,-85.2959 µA,-89.1277 µA,-88.7682 µA,-88.8821 µA,-89.1596 µA,-88.9833 µA,-88.7985 µA,-89.0935 µA,-88.8890 µA,-88.5805 µA,-89.0004 µA,-89.0457 µA,-88.9616 µA,-89.1096 µA,-89.0607 µA,-88.4542 µA,-89.0397 µA,-89.1222 µA,-88.8019 µA,-88.7587 µA,-88.9512 µA,-89.2149 µA,-89.3317 µA,-88.4471 µA,-88.9933 µA,-89.0576 µA,-88.9840 µA,-89.0842 µA,-89.0737 µA,-88.9569 µA,-85.7820 µA,-88.9947 µA,-88.9434 µA,-89.0358 µA,-89.2837 µA,-87.1953 µA,-89.0455 µA,-89.2349 µA,-88.4119 µA,-88.8741 µA,-89.2504 µA,-88.9781 µA,-88.9846 µA,-78.9655 µA,-88.9197 µA,-89.0027 µA
2024-08-04 18:59:40,-88.9640 µA,-89.0128 µA,-89.0016 µA,-89.1956 µA,-88.9829 µA,-89.2425 µA,-88.9380 µA,-88.9018 µA,-89.3173 µA,-89.1051 µA,-88.9576 µA,-88.7539 µA,-88.9668 µA,-86.4314 µA,-89.1051 µA,-86.3690 µA,-89.0245 µA,-89.2574 µA,-89.0272 µA,-88.8442 µA,-89.0123 µA,-88.5044 µA,-89.0016 µA,-88.9497 µA,-105.9697 µA,-106.1961 µA,-88.9212 µA,-89.0811 µA,-85.2960 µA,-89.1277 µA,-88.7685 µA,-88.8822 µA,-89.1595 µA,-88.9840 µA,-88.7986 µA,-89.0932 µA,-88.8891 µA,-88.5814 µA,-89.0006 µA,-89.0459 µA,-88.9613 µA,-89.1095 µA,-89.0610 µA,-88.4485 µA,-89.0402 µA,-89.1221 µA,-88.8108 µA,-88.7588 µA,-88.9512 µA,-89.2147 µA,-89.3313 µA,-88.6049 µA,-88.9927 µA,-89.0574 µA,-88.9839 µA,-89.0845 µA,-89.0742 µA,-88.9570 µA,-85.7818 µA,-88.9946 µA,-88.9437 µA,-89.0355 µA,-89.2843 µA,-87.1943 µA,-89.0457 µA,-89.2346 µA,-88.4096 µA,-88.3956 µA,-89.2492 µA,-88.9776 µA,-88.9846 µA,-78.9767 µA,-88.9198 µA,-89.0025 µA
2024-08-04 18:59:44,-88.9636 µA,-89.0129 µA,-89.0011 µA,-89.1954 µA,-88.9828 µA,-89.2427 µA,-88.9379 µA,-88.9019 µA,-89.1117 µA,-89.1052 µA,-88.9581 µA,-88.7539 µA,-88.9717 µA,-86.4315 µA,-89.1044 µA,-86.3691 µA,-89.0249 µA,-89.2573 µA,-89.0277 µA,-88.8440 µA,-89.0114 µA,-88.5043 µA,-89.0017 µA,-88.9492 µA,-105.9697 µA,-106.1961 µA,-88.9215 µA,-89.0813 µA,-85.2962 µA,-89.1269 µA,-88.7681 µA,-88.8819 µA,-89.1598 µA,-88.9843 µA,-88.7981 µA,-89.0936 µA,-88.8889 µA,-88.5790 µA,-89.0012 µA,-89.0460 µA,-88.9614 µA,-89.1090 µA,-89.0607 µA,-88.4497 µA,-89.0396 µA,-89.1224 µA,-88.8106 µA,-88.7593 µA,-88.9511 µA,-89.2144 µA,-89.3312 µA,-88.4365 µA,-88.9928 µA,-89.0565 µA,-88.9838 µA,-89.0848 µA,-89.0738 µA,-88.9570 µA,-85.7813 µA,-88.9945 µA,-88.9556 µA,-89.0361 µA,-89.2846 µA,-87.1935 µA,-89.0455 µA,-89.2342 µA,-88.4047 µA,-88.3736 µA,-89.2487 µA,-88.9777 µA,-88.9846 µA,-79.5654 µA,-88.9199 µA,-89.0026 µA
2024-08-04 18:59:48,-88.9637 µA,-89.0126 µA,-89.0055 µA,-89.1955 µA,-88.9826 µA,-89.2424 µA,-88.9380 µA,-88.9023 µA,-89.1251 µA,-89.1054 µA,-88.9578 µA,-88.7529 µA,-88.9718 µA,-86.4316 µA,-89.1045 µA,-86.3690 µA,-89.0245 µA,-89.2576 µA,-89.0280 µA,-88.8428 µA,-89.0114 µA,-88.5040 µA,-89.0079 µA,-88.9496 µA,-105.9696 µA,-106.1961 µA,-88.9215 µA,-89.0818 µA,-85.2960 µA,-89.1265 µA,-88.7685 µA,-88.8820 µA,-89.1599 µA,-88.9847 µA,-88.7979 µA,-89.0935 µA,-88.8886 µA,-88.5788 µA,-89.0003 µA,-89.0458 µA,-88.9616 µA,-89.1087 µA,-89.0606 µA,-88.4689 µA,-89.0392 µA,-89.1228 µA,-88.8119 µA,-88.7590 µA,-88.9509 µA,-89.2146 µA,-89.3313 µA,-88.4678 µA,-88.9925 µA,-89.0561 µA,-88.9839 µA,-89.0846 µA,-89.0737 µA,-88.9566 µA,-85.7800 µA,-88.9948 µA,-88.9428 µA,-89.0367 µA,-89.2843 µA,-87.1919 µA,-89.0464 µA,-89.2340 µA,-88.4390 µA,-88.6350 µA,-89.2491 µA,-88.9780 µA,-88.9848 µA,-79.0562 µA,-88.9198 µA,-89.0026 µA
2024-08-04 18:59:52,-88.9639 µA,-89.0127 µA,-89.0052 µA,-89.1954 µA,-88.9828 µA,-89.2425 µA,-88.9377 µA,-88.9025 µA,-89.1150 µA,-89.1055 µA,-88.9578 µA,-88.7527 µA,-89.0365 µA,-86.4319 µA,-89.1041 µA,-86.3689 µA,-89.0250 µA,-89.2575 µA,-89.0283 µA,-88.8425 µA,-89.0110 µA,-88.5042 µA,-89.0095 µA,-88.9499 µA,-105.9697 µA,-106.1961 µA,-88.9209 µA,-89.0822 µA,-85.2958 µA,-89.1272 µA,-88.7684 µA,-88.8821 µA,-89.1601 µA,-88.9847 µA,-88.7937 µA,-89.0942 µA,-88.8884 µA,-88.5789 µA,-89.0002 µA,-89.0459 µA,-88.9618 µA,-89.1085 µA,-89.0607 µA,-88.4305 µA,-89.0388 µA,-89.1240 µA,-88.8126 µA,-88.7592 µA,-88.9507 µA,-89.2151 µA,-89.3308 µA,-88.4461 µA,-88.9922 µA,-89.0564 µA,-88.9840 µA,-89.0850 µA,-89.0741 µA,-88.9568 µA,-85.7734 µA,-88.9946 µA,-88.9412 µA,-89.0367 µA,-89.2845 µA,-87.1906 µA,-89.0462 µA,-89.2351 µA,-88.4122 µA,-88.4272 µA,-89.2501 µA,-88.9777 µA,-88.9846 µA,-79.2255 µA,-88.9196 µA,-89.0062 µA
2024-08-04 18:59:56,-88.9641 µA,-89.0125 µA,-89.0207 µA,-89.1952 µA,-88.9825 µA,-89.2434 µA,-88.9380 µA,-88.9020 µA,-89.2584 µA,-89.1050 µA,-88.9580 µA,-88.7530 µA,-88.9671 µA,-86.4319 µA,-89.1046 µA,-86.3693 µA,-89.0250 µA,-89.2578 µA,-89.0229 µA,-88.8425 µA,-89.0111 µA,-88.5045 µA,-89.0020 µA,-88.9508 µA,-105.9698 µA,-106.1961 µA,-88.9211 µA,-89.0825 µA,-85.2958 µA,-89.1272 µA,-88.7686 µA,-88.8821 µA,-89.1606 µA,-88.9847 µA,-88.7989 µA,-89.0940 µA,-88.8886 µA,-88.5787 µA,-89.0000 µA,-89.0467 µA,-88.9624 µA,-89.1090 µA,-89.0609 µA,-88.4475 µA,-89.0384 µA,-89.1249 µA,-88.8125 µA,-88.7594 µA,-88.9511 µA,-89.2155 µA,-89.3307 µA,-88.4431 µA,-88.9921 µA,-89.0559 µA,-88.9839 µA,-89.0856 µA,-89.0741 µA,-88.9574 µA,-85.7772 µA,-88.9948 µA,-88.9438 µA,-89.0374 µA,-89.2847 µA,-87.1897 µA,-89.0463 µA,-89.2346 µA,-88.7154 µA,-88.5597 µA,-89.2501 µA,-88.9778 µA,-88.9841 µA,-78.9905 µA,-88.9198 µA,-89.0008 µA
2024-08-04 19:00:00,-88.9638 µA,-89.0123 µA,-89.0190 µA,-89.1950 µA,-88.9827 µA,-89.2420 µA,-88.9379 µA,-88.9020 µA,-89.2818 µA,-89.1056 µA,-88.9582 µA,-88.7530 µA,-88.9671 µA,-86.4320 µA,-89.1051 µA,-86.3694 µA,-89.0248 µA,-89.2579 µA,-89.0348 µA,-88.8424 µA,-89.0106 µA,-88.5045 µA,-89.0024 µA,-88.9500 µA,-105.9697 µA,-106.1961 µA,-88.9214 µA,-89.0816 µA,-85.2958 µA,-89.1271 µA,-88.7689 µA,-88.8821 µA,-89.1607 µA,-88.9845 µA,-88.7989 µA,-89.0941 µA,-88.8886 µA,-88.5787 µA,-89.0004 µA,-89.0464 µA,-88.9723 µA,-89.1088 µA,-89.0612 µA,-88.4462 µA,-89.0390 µA,-89.1250 µA,-88.8126 µA,-88.7596 µA,-88.9508 µA,-89.2155 µA,-89.3313 µA,-88.4471 µA,-88.9925 µA,-89.0562 µA,-88.9839 µA,-89.0857 µA,-89.0736 µA,-88.9570 µA,-85.7771 µA,-88.9951 µA,-88.9533 µA,-89.0370 µA,-89.2848 µA,-87.1889 µA,-89.0464 µA,-89.2347 µA,-88.4106 µA,-88.4525 µA,-89.2515 µA,-88.9774 µA,-88.9841 µA,-78.9823 µA,-88.9199 µA,-89.0013 µA
2024-08-04 19:00:04,-88.9643 µA,-89.0129 µA,-89.0156 µA,-89.1955 µA,-88.9834 µA,-89.2425 µA,-88.9380 µA,-88.9022 µA,-89.1117 µA,-89.1055 µA,-88.9579 µA,-88.7534 µA,-88.9773 µA,-86.4322 µA,-89.1053 µA,-86.3693 µA,-89.0248 µA,-89.2586 µA,-89.0286 µA,-88.8428 µA,-89.0104 µA,-88.5046 µA,-89.0029 µA,-88.9499 µA,-105.9697 µA,-106.1961 µA,-88.9219 µA,-89.0817 µA,-85.2957 µA,-89.1279 µA,-88.7689 µA,-88.8823 µA,-89.1610 µA,-88.9844 µA,-88.7992 µA,-89.0943 µA,-88.8888 µA,-88.5788 µA,-89.0004 µA,-89.0460 µA,-88.9612 µA,-89.1089 µA,-89.0614 µA,-88.4449 µA,-89.0399 µA,-89.1342 µA,-88.8168 µA,-88.7597 µA,-88.9512 µA,-89.2154 µA,-89.3310 µA,-88.4507 µA,-88.9935 µA,-89.0564 µA,-88.9840 µA,-89.0856 µA,-89.0740 µA,-88.9580 µA,-85.7779 µA,-88.9950 µA,-88.9464 µA,-89.0407 µA,-89.2849 µA,-87.1881 µA,-89.0463 µA,-89.2355 µA,-88.4239 µA,-88.3808 µA,-89.2508 µA,-88.9771 µA,-88.9840 µA,-79.1206 µA,-88.9199 µA,-89.0016 µA
2024-08-04 19:00:08,-88.9642 µA,-89.0135 µA,-89.0131 µA,-89.1953 µA,-88.9820 µA,-89.2427 µA,-88.9381 µA,-88.9018 µA,-89.1359 µA,-89.1054 µA,-88.9576 µA,-88.7536 µA,-88.9737 µA,-86.4321 µA,-89.1051 µA,-86.3693 µA,-89.0244 µA,-89.2594 µA,-89.0286 µA,-88.8426 µA,-89.0109 µA,-88.5043 µA,-88.9917 µA,-88.9498 µA,-105.9697 µA,-106.1961 µA,-88.9220 µA,-89.0815 µA,-85.2956 µA,-89.1280 µA,-88.7693 µA,-88.8822 µA,-89.1614 µA,-88.9848 µA,-88.7990 µA,-89.0944 µA,-88.8887 µA,-88.5782 µA,-89.0000 µA,-89.0464 µA,-88.9610 µA,-89.1085 µA,-89.0613 µA,-88.4331 µA,-89.0405 µA,-89.1279 µA,-88.8056 µA,-88.7600 µA,-88.9509 µA,-89.2148 µA,-89.3313 µA,-88.4493 µA,-88.9940 µA,-89.0563 µA,-88.9839 µA,-89.0855 µA,-89.0745 µA,-88.9581 µA,-85.7774 µA,-88.9948 µA,-89.3478 µA,-89.1249 µA,-89.2846 µA,-87.1874 µA,-89.0464 µA,-89.2354 µA,-88.3682 µA,-88.4282 µA,-89.2509 µA,-88.9764 µA,-88.9840 µA,-79.0013 µA,-88.9197 µA,-89.0019 µA
2024-08-04 19:00:12,-88.9638 µA,-89.0136 µA,-89.0108 µA,-89.1959 µA,-88.9822 µA,-89.2426 µA,-88.9379 µA,-88.9018 µA,-89.1302 µA,-89.1056 µA,-88.9575 µA,-88.7525 µA,-88.9622 µA,-86.4316 µA,-89.1055 µA,-86.3692 µA,-89.4226 µA,-89.2591 µA,-89.0282 µA,-88.8426 µA,-89.0117 µA,-88.5045 µA,-88.9991 µA,-88.9499 µA,-105.9696 µA,-106.1961 µA,-88.9221 µA,-89.0815 µA,-85.2957 µA,-89.1278 µA,-88.7692 µA,-88.8824 µA,-89.1614 µA,-88.9846 µA,-88.7991 µA,-89.0949 µA,-88.8886 µA,-88.5781 µA,-89.0004 µA,-89.0458 µA,-88.9611 µA,-89.1080 µA,-89.0616 µA,-88.4367 µA,-89.0412 µA,-89.1277 µA,-88.8057 µA,-88.7597 µA,-88.9512 µA,-89.2146 µA,-89.3312 µA,-88.4496 µA,-88.9941 µA,-89.0566 µA,-88.9838 µA,-89.0855 µA,-89.0743 µA,-88.9576 µA,-85.7770 µA,-88.9949 µA,-88.9431 µA,-89.0328 µA,-89.2852 µA,-87.1871 µA,-89.0462 µA,-89.2353 µA,-88.4139 µA,-88.3775 µA,-89.2515 µA,-88.9765 µA,-88.9842 µA,-79.0539 µA,-88.9197 µA,-89.0025 µA
2024-08-04 19:00:16,-88.9646 µA,-89.0134 µA,-89.0091 µA,-89.1968 µA,-88.9821 µA,-89.2429 µA,-88.9382 µA,-88.9021 µA,-89.2479 µA,-89.1057 µA,-88.9578 µA,-88.7530 µA,-89.0000 µA,-86.4319 µA,-89.1052 µA,-86.3693 µA,-89.0323 µA,-89.2588 µA,-89.0281 µA,-88.8426 µA,-89.0123 µA,-88.5050 µA,-89.0002 µA,-88.9502 µA,-105.9696 µA,-106.1961 µA,-88.9223 µA,-89.0810 µA,-85.2954 µA,-89.1278 µA,-88.7690 µA,-88.8826 µA,-89.1621 µA,-88.9847 µA,-88.7990 µA,-89.0950 µA,-88.8885 µA,-88.5783 µA,-89.0007 µA,-89.0458 µA,-88.9612 µA,-89.1083 µA,-89.0617 µA,-88.4502 µA,-89.0412 µA,-89.1271 µA,-88.8723 µA,-88.7598 µA,-88.9512 µA,-89.2145 µA,-89.3313 µA,-88.4596 µA,-88.9926 µA,-89.0565 µA,-88.9838 µA,-89.0857 µA,-89.0741 µA,-88.9578 µA,-85.7764 µA,-88.9949 µA,-88.9405 µA,-89.0383 µA,-89.2852 µA,-87.1865 µA,-89.0466 µA,-89.2355 µA,-88.4093 µA,-88.3936 µA,-89.2517 µA,-88.9766 µA,-88.9849 µA,-78.9878 µA,-88.9198 µA,-89.0028 µA
2024-08-04 19:00:20,-88.9646 µA,-89.0133 µA,-89.0080 µA,-89.1968 µA,-88.9818 µA,-89.2419 µA,-88.9384 µA,-88.9023 µA,-89.1052 µA,-89.1058 µA,-88.9577 µA,-88.7530 µA,-88.9974 µA,-86.4315 µA,-89.1049 µA,-86.3692 µA,-89.0262 µA,-89.2592 µA,-89.0281 µA,-88.8425 µA,-89.0119 µA,-88.5046 µA,-89.0240 µA,-88.9500 µA,-105.9696 µA,-106.1961 µA,-88.9221 µA,-89.0805 µA,-85.2948 µA,-89.1278 µA,-88.7690 µA,-88.8825 µA,-89.1615 µA,-88.9846 µA,-88.7988 µA,-89.0950 µA,-88.8885 µA,-88.5782 µA,-89.0005 µA,-89.0462 µA,-88.9615 µA,-89.1081 µA,-89.0617 µA,-88.4402 µA,-89.0412 µA,-89.1268 µA,-88.8812 µA,-88.7600 µA,-88.9512 µA,-89.2145 µA,-89.3307 µA,-88.4678 µA,-88.9873 µA,-89.0573 µA,-88.9838 µA,-89.0857 µA,-89.0743 µA,-88.9577 µA,-85.7761 µA,-88.9948 µA,-88.9448 µA,-89.0378 µA,-89.2850 µA,-87.1861 µA,-89.0469 µA,-89.2359 µA,-88.4086 µA,-88.3772 µA,-89.2505 µA,-88.9767 µA,-88.9849 µA,-79.7829 µA,-88.9198 µA,-89.0032 µA
2024-08-04 19:00:24,-88.9643 µA,-89.0134 µA,-88.9956 µA,-89.1972 µA,-88.9820 µA,-89.2429 µA,-88.9384 µA,-88.9008 µA,-89.1256 µA,-89.1054 µA,-88.9576 µA,-88.7525 µA,-89.5454 µA,-86.4312 µA,-89.1050 µA,-86.3688 µA,-89.0263 µA,-89.2592 µA,-89.0281 µA,-88.8423 µA,-89.0121 µA,-88.5043 µA,-89.0041 µA,-88.9494 µA,-105.9695 µA,-106.1961 µA,-88.9220 µA,-89.0807 µA,-85.3001 µA,-89.1280 µA,-88.7690 µA,-88.8826 µA,-89.1614 µA,-88.9853 µA,-88.7987 µA,-89.0947 µA,-88.8884 µA,-88.5788 µA,-89.0012 µA,-89.0465 µA,-88.9651 µA,-89.1084 µA,-89.0614 µA,-88.4382 µA,-89.0416 µA,-89.1267 µA,-88.8638 µA,-88.7598 µA,-88.9514 µA,-89.2144 µA,-89.3309 µA,-88.4490 µA,-88.9940 µA,-89.0572 µA,-88.9836 µA,-89.0849 µA,-89.0741 µA,-88.9576 µA,-85.7758 µA,-88.9950 µA,-88.9491 µA,-89.0377 µA,-89.2854 µA,-87.1851 µA,-89.0467 µA,-89.2361 µA,-88.4067 µA,-88.3966 µA,-89.2510 µA,-88.9766 µA,-88.9846 µA,-79.2738 µA,-88.9198 µA,-89.0031 µA
2024-08-04 19:00:28,-88.9645 µA,-89.0130 µA,-89.0294 µA,-89.1968 µA,-88.9818 µA,-89.2427 µA,-88.9386 µA,-88.9004 µA,-89.1244 µA,-89.1055 µA,-88.9578 µA,-88.7527 µA,-88.9773 µA,-86.4309 µA,-89.1048 µA,-86.3691 µA,-89.0260 µA,-89.2590 µA,-89.0335 µA,-88.8427 µA,-89.0119 µA,-88.5043 µA,-89.0038 µA,-88.9495 µA,-105.9695 µA,-106.1960 µA,-88.9220 µA,-89.0809 µA,-85.2986 µA,-89.1284 µA,-88.7692 µA,-88.8823 µA,-89.1622 µA,-88.9850 µA,-88.7985 µA,-89.0947 µA,-88.8887 µA,-88.5787 µA,-89.0013 µA,-89.0469 µA,-88.9610 µA,-89.1087 µA,-89.0617 µA,-88.4382 µA,-89.0408 µA,-89.1185 µA,-88.8651 µA,-88.7599 µA,-88.9513 µA,-89.2145 µA,-89.3302 µA,-88.4379 µA,-88.9940 µA,-89.0573 µA,-88.9835 µA,-89.0848 µA,-89.0743 µA,-88.9580 µA,-85.7749 µA,-88.9952 µA,-88.9472 µA,-89.0375 µA,-89.2851 µA,-87.1840 µA,-89.0468 µA,-89.2361 µA,-88.4014 µA,-88.3805 µA,-89.2505 µA,-88.9764 µA,-88.9843 µA,-79.5184 µA,-88.9198 µA,-89.0035 µA
2024-08-04 19:00:32,-88.9638 µA,-89.0128 µA,-89.0032 µA,-89.1965 µA,-88.9819 µA,-89.2432 µA,-88.9384 µA,-88.9002 µA,-89.1331 µA,-89.1047 µA,-88.9579 µA,-88.7527 µA,-88.9704 µA,-86.4310 µA,-89.1044 µA,-86.3688 µA,-89.0261 µA,-89.2576 µA,-89.0270 µA,-88.8426 µA,-89.0115 µA,-88.5041 µA,-89.0043 µA,-88.9483 µA,-105.9696 µA,-106.1960 µA,-88.9217 µA,-89.0810 µA,-85.2966 µA,-89.1277 µA,-88.7688 µA,-88.8822 µA,-89.1624 µA,-88.9855 µA,-88.7982 µA,-89.0939 µA,-88.8887 µA,-88.7212 µA,-89.0013 µA,-89.0467 µA,-88.9610 µA,-89.1089 µA,-89.0614 µA,-88.4074 µA,-89.0403 µA,-89.1241 µA,-88.8632 µA,-88.7597 µA,-88.9511 µA,-89.2144 µA,-89.3303 µA,-88.4737 µA,-88.9945 µA,-89.0571 µA,-88.9834 µA,-89.0844 µA,-89.0742 µA,-88.9579 µA,-85.7743 µA,-88.9947 µA,-88.9458 µA,-89.0374 µA,-89.2849 µA,-87.1829 µA,-89.0451 µA,-89.2356 µA,-88.4047 µA,-88.8320 µA,-89.2505 µA,-88.9763 µA,-88.9840 µA,-79.0986 µA,-88.9197 µA,-89.0036 µA
2024-08-04 19:00:36,-88.9636 µA,-89.0131 µA,-89.0075 µA,-89.1966 µA,-88.9821 µA,-89.2438 µA,-88.9384 µA,-88.9007 µA,-89.1196 µA,-89.1048 µA,-88.9581 µA,-88.7530 µA,-89.4531 µA,-86.4306 µA,-89.1046 µA,-86.3689 µA,-89.0266 µA,-89.2567 µA,-89.0269 µA,-88.8430 µA,-89.0113 µA,-88.5039 µA,-89.0131 µA,-88.9485 µA,-105.9696 µA,-106.1960 µA,-88.9217 µA,-89.0810 µA,-85.2962 µA,-89.1278 µA,-88.7687 µA,-88.8822 µA,-89.1625 µA,-88.9853 µA,-88.7980 µA,-89.0936 µA,-88.8886 µA,-88.5893 µA,-89.0016 µA,-89.0469 µA,-88.9614 µA,-89.1089 µA,-89.0617 µA,-88.4380 µA,-89.0409 µA,-89.1306 µA,-88.8622 µA,-88.7597 µA,-88.9512 µA,-89.2143 µA,-89.3303 µA,-88.4385 µA,-88.9942 µA,-89.0573 µA,-88.9835 µA,-89.0842 µA,-89.0745 µA,-88.9583 µA,-85.7737 µA,-88.9946 µA,-88.9451 µA,-89.0376 µA,-89.2843 µA,-87.1823 µA,-89.0489 µA,-89.2359 µA,-88.4034 µA,-88.3785 µA,-89.2505 µA,-88.9762 µA,-88.9841 µA,-79.6327 µA,-88.9198 µA,-89.0040 µA
2024-08-04 19:00:40,-88.9639 µA,-89.0129 µA,-88.9996 µA,-89.1967 µA,-88.9804 µA,-89.2439 µA,-88.9380 µA,-88.9011 µA,-89.2594 µA,-89.1048 µA,-88.9581 µA,-88.7531 µA,-88.9704 µA,-86.4308 µA,-89.1053 µA,-86.3689 µA,-89.0258 µA,-89.2565 µA,-89.0265 µA,-88.8418 µA,-89.0112 µA,-88.5040 µA,-89.0072 µA,-88.9485 µA,-105.9696 µA,-106.1960 µA,-88.9216 µA,-89.0811 µA,-85.2949 µA,-89.1278 µA,-88.7684 µA,-88.8821 µA,-89.1622 µA,-88.9852 µA,-88.7981 µA,-89.0936 µA,-88.8887 µA,-88.5864 µA,-89.0025 µA,-89.0465 µA,-88.9620 µA,-89.1085 µA,-89.0616 µA,-88.4385 µA,-89.0408 µA,-89.1172 µA,-88.8460 µA,-88.7599 µA,-88.9508 µA,-89.2143 µA,-89.3306 µA,-88.8945 µA,-88.9938 µA,-89.0570 µA,-88.9834 µA,-89.0841 µA,-89.0748 µA,-88.9583 µA,-85.7736 µA,-88.9943 µA,-88.9330 µA,-89.0378 µA,-89.2849 µA,-87.1815 µA,-89.0485 µA,-89.2359 µA,-88.3994 µA,-88.3772 µA,-89.2499 µA,-88.9758 µA,-88.9843 µA,-79.0611 µA,-88.9198 µA,-89.0043 µA
